date,DEI
2020-06-29,-13.7826472946626
2020-06-30,-13.5669604732025
2020-07-01,-11.1399104530354
2020-07-02,-12.0519959525159
2020-07-03,-8.94815759139933
2020-07-04,-13.9412571417832
2020-07-05,-14.4441827306559
2020-07-06,-7.86698213117373
2020-07-07,-7.62881580481957
2020-07-08,-7.12336593269605
2020-07-09,-9.08859979529294
2020-07-10,-8.96407662704372
2020-07-11,-12.7371044116789
2020-07-12,-15.0893899842892
2020-07-13,-8.01587107165308
2020-07-14,-6.02272016123902
2020-07-15,-6.34611042138348
2020-07-16,-6.45555023829067
2020-07-17,-3.56358517524251
2020-07-18,-8.35974334872814
2020-07-19,-11.9854840607696
2020-07-20,-6.19685032059687
2020-07-21,-4.89395192437325
2020-07-22,-7.63466905972593
2020-07-23,-6.54975362401882
